,HostRNA,mbol,MetaG
Factor1,26.4335672069786,0.0154039240739645,0.00728658479466349
Factor2,0.756402172863102,24.2542187533242,0.0394576551946746
Factor3,0.898952430545363,3.42751412377403,10.6327711755947
Factor4,14.7626430186634,0.00145726352673847,0.0012135557580395
Factor5,0.50807670901466,12.7019815777337,0.27960983945472
Factor6,4.19442018195597,0.00548897396212,7.06407159834255
Factor7,1.2659355038749,2.52244316721789,4.01200136362111
Factor8,6.82662928762808,0.543923206578056,0.0135538206102681
Factor9,6.14519619495603,0.00178775071180137,0.00515489746684139
Factor10,1.27091418065516,3.25247938381956,0.00842469934055901
Factor11,2.06842726885981,0.853875698939732,0.00275829924802906
Factor12,1.24124962582209,1.65595321337423,0.00347295753766463
Factor13,1.85361769092555,0.809661593964706,0.00118559044320898
Factor14,2.42861584775635,0.00180311308812797,0.0209374067030255
Factor15,2.37972599273032,0.00311267702338691,0.0012511607419663
