sample,factor,value,group
F374,Factor1,-0.727459968744247,single_group
F375,Factor1,-0.663073484665107,single_group
F376,Factor1,-0.0492060742910967,single_group
F377,Factor1,0.0145751153436518,single_group
F378,Factor1,-0.481322336188725,single_group
F379,Factor1,1.52377915916276,single_group
F380,Factor1,2.25813691374857,single_group
F381,Factor1,2.38007309536998,single_group
F382,Factor1,1.38971027314298,single_group
F383,Factor1,2.92617870920949,single_group
F386,Factor1,-0.308172969474114,single_group
F388,Factor1,2.72439740917599,single_group
F389,Factor1,-0.770016868493402,single_group
F390,Factor1,-0.0913259169540124,single_group
F391,Factor1,0.290571723274849,single_group
F392,Factor1,0.474817763656478,single_group
F393,Factor1,-0.453028647536658,single_group
F394,Factor1,-0.761335284717783,single_group
F395,Factor1,-0.221890558916533,single_group
F397,Factor1,-0.901052224569619,single_group
F398,Factor1,-0.584775472574849,single_group
F399,Factor1,-0.271241585952995,single_group
F400,Factor1,-0.758340219326428,single_group
F401,Factor1,-0.685286387170008,single_group
F404,Factor1,0.165634149229471,single_group
F405,Factor1,1.14728765766584,single_group
F408,Factor1,-0.580147527403893,single_group
F410,Factor1,-0.229030654060323,single_group
F411,Factor1,-0.813853580638602,single_group
F412,Factor1,-0.634920097971247,single_group
F413,Factor1,-0.00862887892554394,single_group
F414,Factor1,-0.00895477669372393,single_group
F415,Factor1,0.431710787377218,single_group
F417,Factor1,-0.609500151636298,single_group
F418,Factor1,-0.000670863150611414,single_group
F419,Factor1,-0.491448532496785,single_group
F420,Factor1,-0.860153897171406,single_group
F211,Factor1,-0.998461540938178,single_group
F222,Factor1,2.51725616699765,single_group
F228,Factor1,2.11363150201875,single_group
F238,Factor1,2.4082552831095,single_group
F246,Factor1,-0.133121547061952,single_group
F254,Factor1,2.08804866762392,single_group
F272,Factor1,1.75321635922981,single_group
F284,Factor1,0.458044284234407,single_group
F313,Factor1,1.21814459224878,single_group
F322,Factor1,1.33179633088799,single_group
F330,Factor1,-1.22523762316312,single_group
F337,Factor1,-1.51964227235693,single_group
F348,Factor1,-0.924165407337652,single_group
F357,Factor1,0.445753743636387,single_group
F369,Factor1,1.04807845428977,single_group
F364,Factor1,-0.428921192234144,single_group
F370,Factor1,-0.528916445603309,single_group
F347,Factor1,-1.15182999366563,single_group
F368,Factor1,-0.546727529721868,single_group
F387,Factor1,2.83303860432014,single_group
F384,Factor1,-0.96969240270837,single_group
F403,Factor1,-0.0347037706291416,single_group
F406,Factor1,-0.794671269512562,single_group
F409,Factor1,-0.737578953475455,single_group
F407,Factor1,-1.0798662253584,single_group
F385,Factor1,-0.410188516744333,single_group
F310,Factor1,0.874601156416129,single_group
F270,Factor1,-0.555292512392859,single_group
F296,Factor1,-0.197933325381546,single_group
F259,Factor1,-0.676972836266999,single_group
F367,Factor1,0.640546922559153,single_group
F402,Factor1,0.296378159230332,single_group
F396,Factor1,0.927750619725916,single_group
F241,Factor1,-0.416648797332457,single_group
F340,Factor1,0.261043803664684,single_group
F319,Factor1,0.268998292425568,single_group
F308,Factor1,-0.125463683685582,single_group
F212,Factor2,-0.0515717532143392,single_group
F213,Factor2,-0.920551992611086,single_group
F214,Factor2,-3.19783542936869,single_group
F215,Factor2,2.00712022206577,single_group
F216,Factor2,-0.862080890638445,single_group
F217,Factor2,-0.0565338262788132,single_group
F218,Factor2,1.27067004845484,single_group
F219,Factor2,-2.28680387394405,single_group
F220,Factor2,-0.0292221512398431,single_group
F221,Factor2,-0.781151635822508,single_group
F223,Factor2,-2.76767776904512,single_group
F224,Factor2,0.237483424735278,single_group
F225,Factor2,-0.27258967575785,single_group
F226,Factor2,0.284975388909374,single_group
F227,Factor2,-0.181113106365252,single_group
F229,Factor2,-1.66287191838368,single_group
