,HostRNA,mbol,MetaG
Factor1,0.0665559754934875,24.4708177116107,0.04121083181442
Factor2,21.4258071286314,0.0433938579618154,0.00482082725700161
Factor3,13.6106633375623,0.0287035809961256,0.0459627703677468
Factor4,0.488790153108831,3.49616792315162,7.33745065343474
Factor5,3.37832593858475,1.11908718454081,5.76740585543014
Factor6,7.70699079683297,0.763192012969471,0.109775037736548
Factor7,0.199352284025101,6.8271432763954,0.0140737649846345
Factor8,6.48687961619145,0.00661851416847714,0.0232729527107955
Factor9,0.0953102798772143,5.15023478050061,0.0118803753196839
Factor10,4.54365767816128,0.0262185606292875,0.0105257958162186
Factor11,0.300049159573923,4.04304737295901,0.0152015856245913
Factor12,0.44804354101089,3.61614648125814,0.0105473736099371
Factor13,3.79483582527115,0.00561430655511286,0.104032304788781
Factor14,3.23503924620024,0.0158388742023896,0.0188421549709883
Factor15,2.7406956131969,0.0116347946644835,0.0430746219344691
