sample,factor,value,group
F010,Factor1,-3.05325500826827,single_group
F101,Factor1,-1.01672846196637,single_group
F102,Factor1,0.583933933406537,single_group
F104,Factor1,2.01955510583342,single_group
F105,Factor1,0.000665078054042873,single_group
F106,Factor1,-0.000680096967245363,single_group
F108,Factor1,1.16167852751315,single_group
F109,Factor1,-0.000332730291087287,single_group
F011,Factor1,0.643167007646823,single_group
F111,Factor1,-2.21919644768479,single_group
F112,Factor1,1.14851314002193,single_group
F113,Factor1,-1.36772008602063,single_group
F114,Factor1,-0.000302020131876009,single_group
F115,Factor1,0.000665078054042873,single_group
F116,Factor1,0.000665078054042873,single_group
F117,Factor1,0.0599698163155136,single_group
F118,Factor1,-0.153096263491259,single_group
F121,Factor1,0.651415258898499,single_group
F122,Factor1,0.489222939705914,single_group
F124,Factor1,1.87894563254306,single_group
F125,Factor1,-0.800203828454043,single_group
F126,Factor1,-1.84133913693266,single_group
F127,Factor1,-1.81246664218196,single_group
F128,Factor1,-1.26940061279897,single_group
F129,Factor1,-0.00206404446854188,single_group
F013,Factor1,-1.51655813013749,single_group
F130,Factor1,1.06360457517809,single_group
F131,Factor1,1.86243137137053,single_group
F132,Factor1,0.0656900605999463,single_group
F133,Factor1,-0.084986215712922,single_group
F134,Factor1,-1.28745989093684,single_group
F135,Factor1,0.154388092253148,single_group
F136,Factor1,-0.68861021435842,single_group
F137,Factor1,-0.000761084676659096,single_group
F138,Factor1,0.000543747301138563,single_group
F139,Factor1,-1.16873476376317,single_group
F014,Factor1,-1.66193717508189,single_group
F141,Factor1,-0.0478405329377288,single_group
F142,Factor1,-0.110297289833189,single_group
F143,Factor1,3.01294417604078,single_group
F144,Factor1,0.987813711595299,single_group
F145,Factor1,-0.764899190865007,single_group
F146,Factor1,0.047832191945572,single_group
F147,Factor1,1.83520588672544,single_group
F148,Factor1,0.904214902433546,single_group
F149,Factor1,-0.00262015313160914,single_group
F015,Factor1,3.50008611692697,single_group
F150,Factor1,-1.18887908876976,single_group
F151,Factor1,2.84021679288321,single_group
F153,Factor1,0.000665078054042873,single_group
F154,Factor1,-0.662630003497527,single_group
F155,Factor1,0.00158146707059247,single_group
F156,Factor1,0.000498767866063513,single_group
F157,Factor1,-1.57048287303036,single_group
F158,Factor1,-1.20427826791885,single_group
F159,Factor1,-0.785133295929017,single_group
F016,Factor1,3.17387447209104,single_group
F160,Factor1,-0.916047398103067,single_group
F161,Factor1,0.206380865749362,single_group
F162,Factor1,1.83672353602603,single_group
F163,Factor1,0.761639021323173,single_group
F164,Factor1,1.53434161735384,single_group
F165,Factor1,-0.383103597537192,single_group
F166,Factor1,-2.89670923018207,single_group
F167,Factor1,-0.247970652114966,single_group
F168,Factor1,1.87032862883573,single_group
F169,Factor1,-0.251221292474188,single_group
F017,Factor1,0.899557720928291,single_group
F170,Factor1,0.246575240670984,single_group
F171,Factor1,0.0331621742115288,single_group
F172,Factor1,-0.00124533502394424,single_group
F173,Factor1,-3.57029272531424,single_group
F174,Factor1,3.35596997221281,single_group
F176,Factor1,0.000473958968125606,single_group
F177,Factor1,-0.000166114763730512,single_group
F178,Factor1,-0.381556199770038,single_group
F179,Factor1,0.0216419329487548,single_group
F018,Factor1,-2.7768563809302,single_group
F180,Factor1,0.0213450711917597,single_group
F181,Factor1,1.54092973025706,single_group
F182,Factor1,0.0646783995442872,single_group
F183,Factor1,1.65480695645958,single_group
F184,Factor1,0.432868096354792,single_group
F185,Factor1,-2.00477415227594,single_group
F186,Factor1,0.00106845355382157,single_group
F187,Factor1,1.36011625923224,single_group
F188,Factor1,-0.357809087100634,single_group
F189,Factor1,-0.934289853325648,single_group
F019,Factor1,0.14915813772435,single_group
F190,Factor1,-0.000422249633887224,single_group
F191,Factor1,0.345472541333383,single_group
F192,Factor1,-2.30523658161011,single_group
F193,Factor1,-0.000383405031890953,single_group
F194,Factor1,-0.273587289535654,single_group
F195,Factor1,1.02897918960645,single_group
F197,Factor1,1.35836604422395,single_group
F198,Factor1,-2.33229065979321,single_group
F199,Factor1,0.00106845355382157,single_group
F002,Factor1,-0.350187081435956,single_group
F020,Factor1,-0.375102928007662,single_group
F200,Factor1,0.0714359332144604,single_group
F201,Factor1,0.603198267423266,single_group
F203,Factor1,0.0184906010404616,single_group
F204,Factor1,-0.37642234909512,single_group
F206,Factor1,0.000964040717041579,single_group
F207,Factor1,-1.42782571829305,single_group
F208,Factor1,-1.66450401362044,single_group
F209,Factor1,-0.000575044341582573,single_group
F021,Factor1,0.000665078054042873,single_group
F210,Factor1,0.00104360260877385,single_group
F022,Factor1,-0.885370260533329,single_group
F023,Factor1,0.847974332120026,single_group
F024,Factor1,0.278719202026337,single_group
F025,Factor1,1.13714912932174,single_group
F026,Factor1,2.8049011790581,single_group
F027,Factor1,1.19154699394065,single_group
F028,Factor1,1.36546306677471,single_group
F029,Factor1,-1.33805236671529,single_group
F003,Factor1,0.764931356219176,single_group
F030,Factor1,-0.000918441083995508,single_group
F031,Factor1,-1.7229768145601,single_group
F032,Factor1,-0.0765422694441138,single_group
F033,Factor1,4.18992677882207,single_group
F034,Factor1,-1.57154598724095,single_group
F035,Factor1,-0.0617158439529562,single_group
F036,Factor1,-0.00533769620763549,single_group
F037,Factor1,0.0953957206659791,single_group
F038,Factor1,-0.303040599750085,single_group
F039,Factor1,0.784940065378874,single_group
F004,Factor1,2.94759206747219,single_group
F040,Factor1,-1.52586276315987,single_group
F042,Factor1,0.743681984426547,single_group
F421,Factor1,-0.000841809991377244,single_group
F422,Factor1,-3.00555823866073,single_group
F424,Factor1,-1.91610748501964,single_group
F426,Factor1,-3.39320739099223,single_group
F427,Factor1,-0.00124533502394424,single_group
F428,Factor1,0.000665078054042873,single_group
F043,Factor1,-0.502033077753869,single_group
F430,Factor1,0.000583782041127526,single_group
F431,Factor1,0.000665078054042873,single_group
F432,Factor1,0.000583782041127526,single_group
F433,Factor1,0.673528817554503,single_group
F436,Factor1,-0.00109422364774731,single_group
F437,Factor1,0.000665078054042873,single_group
F438,Factor1,-0.704690663762668,single_group
F439,Factor1,-0.00246945089265112,single_group
F440,Factor1,-0.872450790360028,single_group
F441,Factor1,-2.83355525339094,single_group
F442,Factor1,-0.00300443167405661,single_group
F443,Factor1,-1.8048241796106,single_group
F444,Factor1,0.00109789515008407,single_group
F446,Factor1,-2.17690709136108,single_group
F447,Factor1,-0.126953620507051,single_group
F448,Factor1,1.44323072566368,single_group
F449,Factor1,0.000665078054042873,single_group
F045,Factor1,-0.802490683911481,single_group
F451,Factor1,4.86440746379668e-05,single_group
F452,Factor1,0.000543747301138563,single_group
F454,Factor1,0.00104488358299553,single_group
F455,Factor1,0.000332032034534305,single_group
F457,Factor1,-0.00150772028694081,single_group
F459,Factor1,-0.0773928809914932,single_group
F046,Factor1,-0.0377271346233891,single_group
F460,Factor1,0.000386490583158041,single_group
F461,Factor1,-1.12683537088337,single_group
F462,Factor1,-0.000621148495716369,single_group
F463,Factor1,-0.000922782765244022,single_group
F047,Factor1,0.749905764672152,single_group
F048,Factor1,0.0244847314228267,single_group
F049,Factor1,1.19872582986151,single_group
F005,Factor1,1.51368563672469,single_group
F050,Factor1,-1.88607776803127,single_group
F051,Factor1,0.0413448661554626,single_group
F052,Factor1,-0.00118313067712635,single_group
F053,Factor1,-1.29862785370439,single_group
F054,Factor1,-0.111306788184842,single_group
F055,Factor1,1.68602783756254,single_group
F056,Factor1,1.1760119557651,single_group
F057,Factor1,-0.0989829262704461,single_group
F058,Factor1,0.000665078054042873,single_group
F059,Factor1,0.00859589849685112,single_group
F006,Factor1,1.43184813521544,single_group
F060,Factor1,0.0652772187963289,single_group
F061,Factor1,0.00117930462692708,single_group
F062,Factor1,0.73339428672629,single_group
F063,Factor1,-2.39524623812503,single_group
F065,Factor1,2.87404456086845,single_group
F066,Factor1,-0.518087454766988,single_group
F067,Factor1,0.00132492800132853,single_group
F068,Factor1,0.722859690249088,single_group
F069,Factor1,-0.342314646922645,single_group
F070,Factor1,-0.000559043464536773,single_group
F071,Factor1,-0.026392744968617,single_group
F072,Factor1,-0.000364890988625604,single_group
F073,Factor1,-0.464165533715337,single_group
F074,Factor1,-0.0270528922886793,single_group
F075,Factor1,0.000665078054042873,single_group
F076,Factor1,1.75386418252958,single_group
F077,Factor1,-0.0890018959669036,single_group
F078,Factor1,0.897934335391222,single_group
F079,Factor1,0.0924146662252054,single_group
F008,Factor1,0.831414572684056,single_group
F080,Factor1,-0.0650695370877621,single_group
F081,Factor1,-0.00640621796758779,single_group
F082,Factor1,3.28656132962614,single_group
F084,Factor1,1.29436178819325,single_group
F085,Factor1,-1.95104377283461,single_group
F086,Factor1,1.72244448710244,single_group
F087,Factor1,-0.408407431602105,single_group
F088,Factor1,-0.000171996988746838,single_group
F089,Factor1,0.000922184295041743,single_group
F009,Factor1,0.000665078054042873,single_group
F090,Factor1,-0.0243192380139565,single_group
F091,Factor1,0.00431645047716795,single_group
F093,Factor1,0.0459887618401933,single_group
F094,Factor1,-0.562909371878268,single_group
F096,Factor1,4.09812905724604e-05,single_group
F097,Factor1,-0.104789134560074,single_group
F098,Factor1,-0.0220526256416724,single_group
F099,Factor1,-0.0458313009830444,single_group
F012,Factor1,-0.27885216447041,single_group
F001,Factor1,-0.250946895180109,single_group
F044,Factor1,-1.79555080575305,single_group
F041,Factor1,-0.497363576868797,single_group
F064,Factor1,1.87519422690599,single_group
