Factor,Phenotype,cor.r,cor.logp,cor.p
Factor1,Mbol.batch,0.103393964967751,0,1
Factor1,Size.class,0.406110352884346,8.93647346149229,1.15751476238511e-09
Factor1,Tapeworm.bin,0.121350566421284,0,1
Factor10,Mbol.batch,0.171097482982819,1.62745890750369,0.02357985295545
Factor10,Size.class,0.0410949511592023,0,1
Factor10,Tapeworm.bin,0.035529881230023,0,1
Factor11,Mbol.batch,-0.0673435954961485,0,1
Factor11,Size.class,-0.2191987918653,2.83345232944621,0.00146739714765934
Factor11,Tapeworm.bin,-0.150553226402978,1.52345049156749,0.0299605311516275
Factor12,Mbol.batch,-0.0602741223580791,0,1
Factor12,Size.class,0.100769165473065,0,1
Factor12,Tapeworm.bin,0.0556558296015684,0,1
Factor13,Mbol.batch,-0.125748277857709,0,1
Factor13,Size.class,0.356439180959788,6.8988726035242,1.26219773492161e-07
Factor13,Tapeworm.bin,0.111937555529688,0,1
Factor14,Mbol.batch,0.012665382797349,0,1
Factor14,Size.class,-0.0640816893285058,0,1
Factor14,Tapeworm.bin,-0.00551577573160254,0,1
Factor15,Mbol.batch,0.0429331299669533,0,1
Factor15,Size.class,-0.124534436835209,0,1
Factor15,Tapeworm.bin,0.0201031225029099,0,1
Factor2,Mbol.batch,0.146202906249802,0,1
Factor2,Size.class,-0.0672169905706964,0,1
Factor2,Tapeworm.bin,0.0543938986586932,0,1
Factor3,Mbol.batch,-0.0511721848558361,0,1
Factor3,Size.class,-0.0471376772494401,0,1
Factor3,Tapeworm.bin,0.00264412151275985,0,1
Factor4,Mbol.batch,0.0762194630134671,0,1
Factor4,Size.class,0.117628307471077,0,1
Factor4,Tapeworm.bin,0.365178091747249,7.23303245038063,5.84746390400577e-08
Factor5,Mbol.batch,-0.0658854886741709,0,1
Factor5,Size.class,0.135370199347714,0,1
Factor5,Tapeworm.bin,-0.0686082402478128,0,1
Factor6,Mbol.batch,-0.146314047074084,0,1
Factor6,Size.class,-0.312227085334767,5.35578044527741,4.4077763943065e-06
Factor6,Tapeworm.bin,-0.174432674137687,1.93036600454628,0.0117390781936808
Factor7,Mbol.batch,-0.0817163911675294,0,1
Factor7,Size.class,0.0294667329091161,0,1
Factor7,Tapeworm.bin,-0.0649131298460782,0,1
Factor8,Mbol.batch,0.0183116257699671,0,1
Factor8,Size.class,0.016962470231159,0,1
Factor8,Tapeworm.bin,0.0503145254258579,0,1
Factor9,Mbol.batch,-0.0105763834134413,0,1
Factor9,Size.class,-0.0765438165318222,0,1
Factor9,Tapeworm.bin,0.0320762495522321,0,1
