sample,factor,value,group
F010,Factor1,-0.351214704993632,single_group
F101,Factor1,-2.29218774047644,single_group
F102,Factor1,-1.87253517252207,single_group
F104,Factor1,1.16223442737105,single_group
F105,Factor1,0.126513259666487,single_group
F106,Factor1,-0.0244320650630783,single_group
F108,Factor1,0.78586339227819,single_group
F109,Factor1,-0.234756017605312,single_group
F011,Factor1,-0.1766524559439,single_group
F111,Factor1,-0.156947052180518,single_group
F112,Factor1,-0.889899145147667,single_group
F113,Factor1,-2.25521310558481,single_group
F114,Factor1,0.44844107515991,single_group
F115,Factor1,0.126513259666487,single_group
F116,Factor1,0.126513259666487,single_group
F117,Factor1,-1.31770815091669,single_group
F118,Factor1,1.76611431441872,single_group
F121,Factor1,-0.50277746256245,single_group
F122,Factor1,0.0488846006207963,single_group
F124,Factor1,1.36409903417448,single_group
F125,Factor1,0.810832697761949,single_group
F126,Factor1,1.250582424369,single_group
F127,Factor1,0.241615705420848,single_group
F128,Factor1,0.616037938936448,single_group
F129,Factor1,-0.659638753970198,single_group
F013,Factor1,1.04774613962847,single_group
F130,Factor1,-0.233371432492305,single_group
F131,Factor1,1.04082603940337,single_group
F132,Factor1,0.706308962630393,single_group
F133,Factor1,1.04438683230686,single_group
F134,Factor1,0.250621812518866,single_group
F135,Factor1,0.213093692659188,single_group
F136,Factor1,-2.0718710837545,single_group
F137,Factor1,0.0835655579735723,single_group
F138,Factor1,-0.0967062248952641,single_group
F139,Factor1,1.11674719072699,single_group
F014,Factor1,1.04518898077055,single_group
F141,Factor1,1.41298434754373,single_group
F142,Factor1,1.17902129390146,single_group
F143,Factor1,1.10340273497906,single_group
F144,Factor1,1.12312248227673,single_group
F145,Factor1,1.10477001027381,single_group
F146,Factor1,0.858706663580718,single_group
F147,Factor1,0.507898181338722,single_group
F148,Factor1,1.4081730960479,single_group
F149,Factor1,-0.437742364520985,single_group
F015,Factor1,0.748326658884026,single_group
F150,Factor1,0.191043010831034,single_group
F151,Factor1,1.16253237283779,single_group
F153,Factor1,0.126513259666487,single_group
F154,Factor1,1.35930531985413,single_group
F155,Factor1,0.116741529720311,single_group
F156,Factor1,-0.236162691850414,single_group
F157,Factor1,1.04389509267313,single_group
F158,Factor1,-2.17031863929227,single_group
F159,Factor1,0.877312423928409,single_group
F016,Factor1,0.779923103012096,single_group
F160,Factor1,-0.37646290625105,single_group
F161,Factor1,0.836306086327368,single_group
F162,Factor1,0.36214337906925,single_group
F163,Factor1,-0.73943735832598,single_group
F164,Factor1,0.63357194025533,single_group
F165,Factor1,0.936423088542148,single_group
F166,Factor1,-0.12451853956299,single_group
F167,Factor1,0.950013852557238,single_group
F168,Factor1,0.211578545469827,single_group
F169,Factor1,-1.38571652810726,single_group
F017,Factor1,0.56949601965492,single_group
F170,Factor1,0.678937250350161,single_group
F171,Factor1,0.806237786680129,single_group
F172,Factor1,-0.126939516610841,single_group
F173,Factor1,0.278501291079544,single_group
F174,Factor1,0.357432487407625,single_group
F176,Factor1,0.653483401993869,single_group
F177,Factor1,0.0259500608096895,single_group
F178,Factor1,0.522320839548467,single_group
F179,Factor1,0.851452705783575,single_group
F018,Factor1,0.418345097697398,single_group
F180,Factor1,1.02417813314707,single_group
F181,Factor1,0.813569509070578,single_group
F182,Factor1,0.724855975692404,single_group
F183,Factor1,0.495884137153457,single_group
F184,Factor1,-0.712243126062499,single_group
F185,Factor1,0.856107518780955,single_group
F186,Factor1,-0.216538899634356,single_group
F187,Factor1,-0.121590031369718,single_group
F188,Factor1,0.779521596367457,single_group
F189,Factor1,0.534736663270645,single_group
F019,Factor1,1.09904190479506,single_group
F190,Factor1,0.0562335483794188,single_group
F191,Factor1,0.985642453773597,single_group
F192,Factor1,0.915776095259478,single_group
F193,Factor1,0.556501172620723,single_group
F194,Factor1,0.308659593646556,single_group
F195,Factor1,0.258961932721496,single_group
F197,Factor1,0.903022394253886,single_group
F198,Factor1,0.5491065475009,single_group
F199,Factor1,-0.216538899634356,single_group
F002,Factor1,0.866637691625908,single_group
F020,Factor1,0.713764163042679,single_group
F200,Factor1,0.534400539632009,single_group
F201,Factor1,0.783748520443982,single_group
F203,Factor1,1.20219824050381,single_group
F204,Factor1,1.21500018657311,single_group
F206,Factor1,0.372543522133518,single_group
F207,Factor1,0.970804834096853,single_group
F208,Factor1,0.903297793343623,single_group
F209,Factor1,0.44135214955797,single_group
F021,Factor1,0.126513259666487,single_group
F210,Factor1,0.153596831294102,single_group
F022,Factor1,0.282896283859614,single_group
F023,Factor1,0.82207500747289,single_group
F024,Factor1,1.07576841859513,single_group
F025,Factor1,-1.58991053742154,single_group
F026,Factor1,0.872904193867717,single_group
F027,Factor1,1.05998864751808,single_group
F028,Factor1,0.862072467716953,single_group
F029,Factor1,1.40369359554233,single_group
F003,Factor1,1.1763248314329,single_group
F030,Factor1,0.394400393077957,single_group
F031,Factor1,-1.90103614624543,single_group
F032,Factor1,1.29303599575682,single_group
F033,Factor1,1.37279443641755,single_group
F034,Factor1,0.3257889281885,single_group
F035,Factor1,0.571554525889012,single_group
F036,Factor1,0.85683682353965,single_group
F037,Factor1,1.68853739593822,single_group
F038,Factor1,-0.40112722914759,single_group
F039,Factor1,-1.83221701314619,single_group
F004,Factor1,1.1043309240742,single_group
F040,Factor1,-0.136430065027505,single_group
F042,Factor1,-0.462600389398302,single_group
F421,Factor1,-0.466846784563003,single_group
F422,Factor1,0.982451187123034,single_group
F424,Factor1,-1.53646846236243,single_group
F426,Factor1,-1.23652095951543,single_group
F427,Factor1,-0.126939516610841,single_group
F428,Factor1,0.126513259666487,single_group
F043,Factor1,-0.757974432370539,single_group
F430,Factor1,0.234982843359196,single_group
F431,Factor1,0.126513259666487,single_group
F432,Factor1,0.234982843359196,single_group
F433,Factor1,-2.23046930424475,single_group
F436,Factor1,0.317729192712478,single_group
F437,Factor1,0.126513259666487,single_group
F438,Factor1,2.49126375372479,single_group
F439,Factor1,-0.0543356315222457,single_group
F440,Factor1,-0.0209227540687507,single_group
F441,Factor1,-2.37066377160296,single_group
F442,Factor1,0.0663397218140994,single_group
F443,Factor1,0.564965111979583,single_group
F444,Factor1,0.565255474829308,single_group
F446,Factor1,-6.19828042233613,single_group
F447,Factor1,1.26212767819053,single_group
F448,Factor1,0.327778823432182,single_group
F449,Factor1,0.126513259666487,single_group
F045,Factor1,2.21882172545345,single_group
F451,Factor1,0.353141446941117,single_group
F452,Factor1,-0.0967062248952641,single_group
F454,Factor1,0.26496448972091,single_group
F455,Factor1,-0.0159126772176399,single_group
F457,Factor1,-0.220772365699622,single_group
F459,Factor1,0.851216250241571,single_group
F046,Factor1,1.14338057607623,single_group
F460,Factor1,0.214337386598479,single_group
F461,Factor1,0.0927171710012309,single_group
F462,Factor1,-0.154438822466257,single_group
F463,Factor1,-0.358727562533214,single_group
F047,Factor1,-0.0798995913004743,single_group
F048,Factor1,0.0227997444735038,single_group
F049,Factor1,0.725105349042087,single_group
F005,Factor1,0.940006499004099,single_group
F050,Factor1,-0.327559763455629,single_group
F051,Factor1,-0.117401308594423,single_group
F052,Factor1,0.287641646534619,single_group
F053,Factor1,-2.24327176909915,single_group
F054,Factor1,1.48210821611886,single_group
F055,Factor1,0.451667478982758,single_group
F056,Factor1,-3.30202532729834,single_group
F057,Factor1,0.919128138130878,single_group
F058,Factor1,0.126513259666487,single_group
F059,Factor1,1.50883349649724,single_group
F006,Factor1,1.28917151984403,single_group
F060,Factor1,1.61413557389119,single_group
F061,Factor1,0.456992560243825,single_group
F062,Factor1,0.679921722474264,single_group
F063,Factor1,0.207760204745642,single_group
F065,Factor1,2.69538232424102,single_group
F066,Factor1,0.709188266685012,single_group
F067,Factor1,0.0352126556415843,single_group
F068,Factor1,1.44942985431334,single_group
F069,Factor1,0.436298483574971,single_group
F070,Factor1,0.199171816398203,single_group
F071,Factor1,0.559620923844098,single_group
F072,Factor1,-0.185105964564115,single_group
F073,Factor1,-1.50684498500154,single_group
F074,Factor1,0.516082681802578,single_group
F075,Factor1,0.126513259666487,single_group
F076,Factor1,1.38713009878205,single_group
F077,Factor1,-0.514302840155378,single_group
F078,Factor1,0.897417911454302,single_group
F079,Factor1,0.986223940540348,single_group
F008,Factor1,0.501263094088503,single_group
F080,Factor1,1.27245472913807,single_group
F081,Factor1,1.12408050837927,single_group
F082,Factor1,0.889544479830503,single_group
F084,Factor1,-2.25463830494899,single_group
F085,Factor1,0.763677325942578,single_group
F086,Factor1,1.25490289974328,single_group
F087,Factor1,-2.0695220801325,single_group
F088,Factor1,0.21022126159344,single_group
F089,Factor1,0.37611281554211,single_group
F009,Factor1,0.126513259666487,single_group
F090,Factor1,-0.299532836218917,single_group
F091,Factor1,-1.853643008894,single_group
F093,Factor1,1.02715829081555,single_group
F094,Factor1,-2.13641118964911,single_group
F096,Factor1,0.214975645261407,single_group
F097,Factor1,1.58378450577146,single_group
F098,Factor1,0.674393356326675,single_group
F099,Factor1,0.161160402535533,single_group
F212,Factor1,0.461608703832746,single_group
F213,Factor1,0.0947854139077292,single_group
F214,Factor1,-0.632526340508286,single_group
F215,Factor1,0.221708602721839,single_group
F216,Factor1,0.932622420014878,single_group
F217,Factor1,0.670368328979266,single_group
F218,Factor1,-0.80929058010167,single_group
F219,Factor1,0.49687661546216,single_group
F220,Factor1,-0.0236553660531812,single_group
F221,Factor1,0.541601361232476,single_group
F223,Factor1,0.363526459538023,single_group
F224,Factor1,0.827941238904875,single_group
F225,Factor1,0.395732563299929,single_group
F226,Factor1,-0.05663461434295,single_group
F227,Factor1,-1.48309211173174,single_group
F229,Factor1,0.366040006004225,single_group
F230,Factor1,0.617723358530338,single_group
F231,Factor1,0.696275264944295,single_group
F232,Factor1,-2.61945323558969,single_group
F233,Factor1,-1.65554966922842,single_group
F234,Factor1,-2.60816490330112,single_group
F235,Factor1,-0.395504423023033,single_group
F236,Factor1,0.334364283440026,single_group
F237,Factor1,-2.19129605853818,single_group
F239,Factor1,1.00688126294907,single_group
F240,Factor1,0.631216802397662,single_group
F242,Factor1,-0.953083888822492,single_group
F243,Factor1,-0.15942127520436,single_group
F244,Factor1,-0.0244320650630783,single_group
F245,Factor1,-1.53730720000615,single_group
F247,Factor1,-0.0111528223096304,single_group
F248,Factor1,-0.530037885908375,single_group
F249,Factor1,0.00757225589022582,single_group
F250,Factor1,-0.0300941583227633,single_group
F251,Factor1,0.804421495483783,single_group
F252,Factor1,0.884556583438165,single_group
F253,Factor1,0.685991466665311,single_group
F255,Factor1,0.0204745860628729,single_group
F256,Factor1,1.01185621553108,single_group
F257,Factor1,-1.32758465101404,single_group
F258,Factor1,-0.404100859436337,single_group
F260,Factor1,0.30394870575914,single_group
F261,Factor1,-1.18323974479877,single_group
F262,Factor1,0.625362918213426,single_group
F263,Factor1,0.569872908895687,single_group
F264,Factor1,0.219108518099508,single_group
F265,Factor1,-0.141430136906232,single_group
F266,Factor1,-0.463823990466506,single_group
F267,Factor1,0.849816019042837,single_group
F268,Factor1,0.583888374632402,single_group
F269,Factor1,0.316396510600071,single_group
F271,Factor1,0.362486407756708,single_group
F273,Factor1,0.307770416848755,single_group
F274,Factor1,0.199171816398203,single_group
F275,Factor1,-0.294221269800025,single_group
F276,Factor1,0.818169579122051,single_group
F277,Factor1,0.630942068306714,single_group
F278,Factor1,0.640590533867755,single_group
F279,Factor1,0.283621852764927,single_group
F280,Factor1,0.531607241035788,single_group
F281,Factor1,-2.26323214875567,single_group
F282,Factor1,0.0953997042009622,single_group
F283,Factor1,-2.08295942793119,single_group
F285,Factor1,-0.24668073485725,single_group
F286,Factor1,-0.189084864495393,single_group
F287,Factor1,1.23634709617985,single_group
F288,Factor1,1.14982728510932,single_group
F289,Factor1,0.2033405583954,single_group
F290,Factor1,3.13873546099237,single_group
F291,Factor1,1.0345215407604,single_group
F292,Factor1,-0.121172628894506,single_group
F293,Factor1,-0.194744527176736,single_group
F294,Factor1,0.290537281373437,single_group
F295,Factor1,-0.155919739172051,single_group
F297,Factor1,0.684008990139577,single_group
F298,Factor1,0.443519563535102,single_group
F299,Factor1,0.818239560712564,single_group
F300,Factor1,0.744441018412655,single_group
F301,Factor1,0.530953787736553,single_group
F302,Factor1,0.561228069866548,single_group
F303,Factor1,-1.96378945896891,single_group
F304,Factor1,0.728430107240525,single_group
F305,Factor1,-1.04401700480003,single_group
F306,Factor1,-0.209623030589416,single_group
F307,Factor1,-0.107269410349601,single_group
F309,Factor1,-2.62809191305601,single_group
F311,Factor1,0.754650495277283,single_group
F312,Factor1,-0.331375656177732,single_group
F314,Factor1,0.0330726731107409,single_group
F315,Factor1,-1.55095451566375,single_group
F316,Factor1,-0.293695572281769,single_group
F317,Factor1,-0.295044246186205,single_group
F318,Factor1,-1.36884635485075,single_group
F320,Factor1,0.267838034795092,single_group
F321,Factor1,-2.10448431259412,single_group
F323,Factor1,-2.06531576617107,single_group
F324,Factor1,0.144402862360563,single_group
F325,Factor1,0.18776305091975,single_group
F326,Factor1,-0.36664078168088,single_group
F327,Factor1,0.372603567322484,single_group
F328,Factor1,0.748991718859932,single_group
F329,Factor1,0.410114843747135,single_group
F331,Factor1,0.175274286314346,single_group
F332,Factor1,0.243691805070512,single_group
