feature,factor,value,view
NC_059448.1+fel,Factor1,0.00159490872824722,HostRNA
NC_059468.1+LOC106588400,Factor1,0.000287018404194987,HostRNA
NC_059468.1+LOC123730958,Factor1,-0.000106953283696929,HostRNA
NC_001960.1+rna133439,Factor1,0.000203871072420233,HostRNA
NC_059445.1+LOC106602161,Factor1,0.000371617554451955,HostRNA
NC_059455.1+LOC106570190,Factor1,0.00235645518857254,HostRNA
NC_059449.1+LOC106610497,Factor1,-1.25254294492361e-05,HostRNA
NC_059457.1+LOC106574241,Factor1,-1.2947015233544e-05,HostRNA
NC_001960.1+rna133441,Factor1,0.000165394185828064,HostRNA
NC_059443.1+afp4,Factor1,0.000119366683314695,HostRNA
NC_059463.1+LOC123729671,Factor1,-0.000114898736193461,HostRNA
NC_059448.1+ubil,Factor1,2.90899377407751e-05,HostRNA
NC_059466.1+LOC106586541,Factor1,0.00314206420889265,HostRNA
NC_059468.1+LOC123730988,Factor1,8.6248333035484e-07,HostRNA
NC_059460.1+acta2,Factor1,9.04876191188841e-05,HostRNA
NC_059458.1+LOC106575168,Factor1,0.000306024655072785,HostRNA
NC_059448.1+zanl,Factor1,0.000315747026639707,HostRNA
NC_059443.1+LOC106581127,Factor1,0.0170109275710519,HostRNA
NC_059450.1+LOC106612300,Factor1,-0.000180435273889435,HostRNA
NW_025550529.1+LOC123739521,Factor1,-0.000486351476404334,HostRNA
NC_059469.1+LOC106589387,Factor1,7.76221594018946e-05,HostRNA
NC_059444.1+elof1,Factor1,-6.71279233959776e-05,HostRNA
NC_059447.1+ost4,Factor1,-0.000664533273532701,HostRNA
NC_059443.1+LOC106574856,Factor1,-0.000258467698688431,HostRNA
NC_059452.1+slc12a1,Factor1,-6.37355287263245e-05,HostRNA
NC_001960.1+rna133438,Factor1,6.39274256182932e-05,HostRNA
NC_059454.1+LOC106567267,Factor1,-0.00041667296573184,HostRNA
NC_059450.1+apoa1,Factor1,1.12631049273631e-05,HostRNA
NC_059445.1+LOC106602162,Factor1,0.000389112708993643,HostRNA
NC_059454.1+LOC106567403,Factor1,0.000106931934668718,HostRNA
NC_059464.1+LOC106584699,Factor1,-0.0001081298489143,HostRNA
NW_025549707.1+LOC106597196,Factor1,0.000776566184142378,HostRNA
NC_059455.1+LOC106570173,Factor1,-0.00077655471185059,HostRNA
NC_059451.1+LOC106560239,Factor1,0.00121488908670331,HostRNA
NC_059464.1+LOC106584698,Factor1,0.000176472386054138,HostRNA
NC_059448.1+zgc:194655,Factor1,-0.000206722113436567,HostRNA
NC_059459.1+LOC106576775,Factor1,5.7026518000631e-05,HostRNA
NC_059442.1+LOC106587655,Factor1,-0.00010747762156831,HostRNA
NC_059444.1+cnn1b,Factor1,-1.09263194711476e-05,HostRNA
NC_059454.1+LOC100380643,Factor1,0.00060036466634967,HostRNA
NC_059443.1+LOC106589071,Factor1,0.00049084918024973,HostRNA
NC_059443.1+gadl1,Factor1,0.0001512242365878,HostRNA
NC_059460.1+LOC106578890,Factor1,-0.000577598403077778,HostRNA
NC_059449.1+LOC106592508,Factor1,-1.72369178705726e-05,HostRNA
NC_059446.1+LOC123743132,Factor1,0.00028526502046699,HostRNA
NC_059453.1+LOC123725565,Factor1,-7.29338431169931e-05,HostRNA
NC_059442.1+LOC106569632,Factor1,-0.000293219439030547,HostRNA
NC_059470.1+LOC106590295,Factor1,-0.00094424538437464,HostRNA
NC_059449.1+isp2,Factor1,-2.30311244278575e-05,HostRNA
NW_025547491.1+LOC123731929,Factor1,-0.000137399196096334,HostRNA
NC_059443.1+LOC106587486,Factor1,-0.000281946602116441,HostRNA
NC_059450.1+LOC106610834,Factor1,1.20405733477254e-05,HostRNA
NC_059443.1+LOC106577499,Factor1,0.000844425503269233,HostRNA
NC_059456.1+LOC106571178,Factor1,-0.000399545753123525,HostRNA
NC_059448.1+LOC106608845,Factor1,0.000794343533795892,HostRNA
NW_025549708.1+LOC123738713,Factor1,0.00146505240189566,HostRNA
NC_059443.1+LOC106577505,Factor1,0.000193784914875667,HostRNA
NW_025549279.1+LOC100380663,Factor1,0.000295084157688064,HostRNA
NC_059461.1+ret2,Factor1,4.0319935460603e-05,HostRNA
NC_059455.1+LOC100136439,Factor1,-0.000740189421496276,HostRNA
NC_059447.1+LOC123743428,Factor1,-3.63231186755855e-05,HostRNA
NC_059451.1+rbpms2a,Factor1,-0.00016005022021711,HostRNA
NC_059448.1+LOC106599773,Factor1,-0.00031878719126485,HostRNA
NC_059450.1+LOC106611713,Factor1,-0.000118688230524248,HostRNA
NC_059451.1+LOC100196494,Factor1,-0.000493503100375869,HostRNA
NC_059444.1+LOC106601071,Factor1,-8.24021875244417e-05,HostRNA
NC_059448.1+LOC106608508,Factor1,3.77314957324303e-05,HostRNA
NC_059448.1+LOC106609541,Factor1,0.000335790395382036,HostRNA
NC_059457.1+LOC106573078,Factor1,-0.000175525801785318,HostRNA
NC_059459.1+LOC106577917,Factor1,-0.0401703680329469,HostRNA
NC_059446.1+LOC106605287,Factor1,0.00093895713821507,HostRNA
NC_059450.1+LOC106612633,Factor1,-0.000293723942688097,HostRNA
NC_059456.1+LOC106571269,Factor1,8.42580227606215e-05,HostRNA
NC_059461.1+LOC100136573,Factor1,0.000171281819658593,HostRNA
NC_059444.1+LOC106601072,Factor1,-6.47470204009242e-06,HostRNA
NC_059453.1+LOC123725581,Factor1,0.000198317560320158,HostRNA
NC_059454.1+LOC106566298,Factor1,-0.000301807675067814,HostRNA
NC_059463.1+LOC106583599,Factor1,-0.000141630640850967,HostRNA
NW_025548300.1+LOC123732866,Factor1,-0.00122615739615746,HostRNA
NC_059453.1+LOC106565579,Factor1,-0.000608732604426507,HostRNA
NC_059445.1+LOC106602736,Factor1,4.92117196574909e-05,HostRNA
NC_059453.1+LOC123725462,Factor1,-9.37949033586074e-05,HostRNA
NC_059443.1+LOC100136446,Factor1,-0.00012145197771497,HostRNA
NC_059460.1+LOC106578982,Factor1,0.000249465356123377,HostRNA
NC_059450.1+LOC106612508,Factor1,0.000365000517438019,HostRNA
NC_059447.1+LOC106600318,Factor1,-0.00103942483324753,HostRNA
NC_059461.1+LOC106592016,Factor1,-0.00107584803112215,HostRNA
NC_059458.1+LOC123728348,Factor1,-0.000532872671279424,HostRNA
NC_059446.1+LOC106604090,Factor1,4.65058519832116e-05,HostRNA
NC_059452.1+LOC106594559,Factor1,0.000219054696149292,HostRNA
NC_059450.1+LOC123744634,Factor1,-2.40043994662399e-05,HostRNA
NC_059452.1+LOC106563252,Factor1,0.00103377521719825,HostRNA
NC_059463.1+LOC106583595,Factor1,-0.00105591605154282,HostRNA
NC_059455.1+slc6a19,Factor1,-0.0113350071564677,HostRNA
NC_059458.1+LOC123728265,Factor1,-0.000134044286936397,HostRNA
NC_059455.1+LOC106570460,Factor1,4.29424651114656e-06,HostRNA
NC_059444.1+LOC106600603,Factor1,-0.00146757281664161,HostRNA
NC_001960.1+rna133449,Factor1,-6.58549377877811e-05,HostRNA
NC_059448.1+LOC106609426,Factor1,9.40723512712162e-05,HostRNA
NC_059469.1+rbp4,Factor1,0.000279424845784913,HostRNA
NC_059442.1+LOC106592479,Factor1,0.000214416995844306,HostRNA
NC_059462.1+LOC106581733,Factor1,-9.53067569056345e-05,HostRNA
NC_059457.1+LOC106591349,Factor1,-8.28228343555682e-07,HostRNA
NC_059444.1+LOC106598496,Factor1,0.000515887251508194,HostRNA
NC_059461.1+LOC106580347,Factor1,3.61039276792882e-05,HostRNA
NW_025547454.1+LOC106597645,Factor1,0.000803537613799906,HostRNA
NC_059443.1+LOC106578919,Factor1,-0.000166401521545205,HostRNA
NW_025550869.1+LOC106590792,Factor1,0.000810829066959755,HostRNA
NC_059456.1+mmp9,Factor1,0.000216414243908204,HostRNA
NC_059446.1+LOC106605691,Factor1,0.000430440099414112,HostRNA
NC_059448.1+LOC106608877,Factor1,-0.000419157589725841,HostRNA
NW_025547269.1+psmb9-a,Factor1,0.000390086506272311,HostRNA
NC_059449.1+LOC106610314,Factor1,-0.000173936939270044,HostRNA
NC_059442.1+LOC106586810,Factor1,4.02104513343178e-05,HostRNA
NC_059459.1+LOC106576710,Factor1,-0.000848534601569773,HostRNA
NC_059443.1+LOC106578009,Factor1,0.00178774619139316,HostRNA
NC_059447.1+LOC123743438,Factor1,-0.000934644729551056,HostRNA
NC_059453.1+LOC106564730,Factor1,-0.00360423530572178,HostRNA
NC_059444.1+LOC106601077,Factor1,2.95643216620567e-06,HostRNA
NC_059442.1+LOC106610502,Factor1,1.88431025834084e-05,HostRNA
NC_059446.1+LOC106605692,Factor1,0.000200806724647954,HostRNA
NC_059451.1+LOC106561182,Factor1,0.000213914659901627,HostRNA
NC_059444.1+LOC100136434,Factor1,0.000117737499860266,HostRNA
NC_059462.1+LOC106581830,Factor1,-0.000487965964757411,HostRNA
NC_059451.1+LOC106560454,Factor1,-0.00067142094918735,HostRNA
NC_059461.1+LOC106580821,Factor1,-0.00037217766137159,HostRNA
NC_059445.1+hspb1,Factor1,3.67733176195677e-05,HostRNA
NC_059460.1+LOC106578314,Factor1,0.000180659543456517,HostRNA
NC_059458.1+LOC106576106,Factor1,0.00045056244259247,HostRNA
NC_059442.1+LOC106612024,Factor1,0.000358684572677432,HostRNA
NC_059442.1+LOC106561458,Factor1,0.000173466610697362,HostRNA
NC_059447.1+LOC106606647,Factor1,-8.96844411252327e-05,HostRNA
NC_059450.1+LOC106612831,Factor1,7.23488309502266e-05,HostRNA
NC_059461.1+LOC106580299,Factor1,-0.000223173416782864,HostRNA
NC_059455.1+mpz,Factor1,-0.000308459500308562,HostRNA
NC_059470.1+LOC123731531,Factor1,-0.000256885013271017,HostRNA
NC_059445.1+pdlim3a,Factor1,-0.000114035673595491,HostRNA
NC_059458.1+LOC106575599,Factor1,0.00025800634897961,HostRNA
NC_059443.1+LOC106588082,Factor1,8.67586441589181e-05,HostRNA
NC_059468.1+abcb3,Factor1,-4.53906559957388e-05,HostRNA
NW_025548372.1+LOC123723754,Factor1,0.000277330183150553,HostRNA
NC_059444.1+LOC106601736,Factor1,5.18305938177691e-05,HostRNA
NW_025547500.1+LOC123724015,Factor1,0.000455489172687687,HostRNA
NC_059453.1+myl9b,Factor1,2.10038296704618e-05,HostRNA
NC_059442.1+tpm2,Factor1,-9.82967271445874e-05,HostRNA
NC_059447.1+hba,Factor1,-2.30876407007104e-05,HostRNA
NC_059444.1+LOC100136576,Factor1,3.00638102397084e-06,HostRNA
NC_059451.1+LOC106560919,Factor1,2.31287600034436e-05,HostRNA
NC_059442.1+mot9,Factor1,0.000144407813403765,HostRNA
NC_059442.1+cfd,Factor1,-3.90127878862396e-05,HostRNA
NC_059443.1+LOC123728683,Factor1,8.6860734572168e-05,HostRNA
NC_059467.1+saa5,Factor1,0.000382945892533892,HostRNA
NC_059461.1+LOC106580183,Factor1,-0.000374942398856645,HostRNA
NC_059454.1+LOC106567787,Factor1,0.00018285310950747,HostRNA
NC_059445.1+LOC106593843,Factor1,0.000406354943777936,HostRNA
NC_059442.1+LOC106604599,Factor1,0.000146434400027908,HostRNA
NC_059448.1+LOC106597302,Factor1,0.000174310873231725,HostRNA
NC_059464.1+LOC106597275,Factor1,0.000514908824875756,HostRNA
NC_059457.1+ccl25b,Factor1,-2.48286941445542e-05,HostRNA
NC_059447.1+LOC106607380,Factor1,2.37509454561501e-07,HostRNA
NC_059465.1+ccl19a.1,Factor1,-0.000157797425104115,HostRNA
NC_059443.1+LOC106594168,Factor1,-2.42125797864463e-05,HostRNA
NC_059445.1+mmp13,Factor1,0.000165134455825292,HostRNA
NC_059462.1+LOC106581666,Factor1,-6.70746764608279e-07,HostRNA
NC_059464.1+LOC106591811,Factor1,-0.000212231890966772,HostRNA
NC_059454.1+LOC106567093,Factor1,-5.98201866016202e-05,HostRNA
NC_059444.1+LOC106600852,Factor1,-7.92631252894811e-05,HostRNA
NC_059468.1+LOC106588865,Factor1,-4.1296496414721e-05,HostRNA
NC_059468.1+LOC106589096,Factor1,-0.000189180893833676,HostRNA
NC_059460.1+lrp2b,Factor1,-0.000257911185550161,HostRNA
NC_059459.1+cxcl12a,Factor1,0.0001520841948719,HostRNA
NC_059445.1+LOC106591957,Factor1,-0.000681338303175172,HostRNA
NC_059447.1+LOC123723770,Factor1,0.000187081230944501,HostRNA
NC_059449.1+pdli3,Factor1,-0.000242961412846815,HostRNA
NC_059452.1+hce1,Factor1,0.000415771877884644,HostRNA
NC_059468.1+LOC106588714,Factor1,-0.000778181386203866,HostRNA
NW_025548201.1+LOC106591921,Factor1,3.59761592937944e-05,HostRNA
NC_059461.1+LOC106580088,Factor1,0.000225431789832207,HostRNA
NC_059443.1+LOC123734193,Factor1,0.000193723495200335,HostRNA
