SIRIUS_ID	MS2	type	Project	FT_ID	name	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass
925	MS2	all	HoloFish	926	925_MS2_all_HoloFish_926	C15H21BN2O3	[M + H]+	Dipeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
926	MS2	all	HoloFish	927	926_MS2_all_HoloFish_927	C12H18O4	[M + H]+	Secondary alcohols	Secondary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds
927	MS2	all	HoloFish	928	927_MS2_all_HoloFish_928	C21H37N5O6	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
928	MS2	all	HoloFish	929	928_MS2_all_HoloFish_929	C38H57N7O8	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
929	MS2	all	HoloFish	930	929_MS2_all_HoloFish_930	C8H15N2O2	[M + H]+	Alpha amino acid amides	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
930	MS2	all	HoloFish	931	930_MS2_all_HoloFish_931	C40H48N4O7	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
931	MS2	all	HoloFish	932	931_MS2_all_HoloFish_932	C8H14BN3O	[M + H]+	Boronic acids		Boronic acids	Boronic acid derivatives	Organic acids and derivatives
932	MS2	all	HoloFish	933	932_MS2_all_HoloFish_933	C17H34N10O4	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
933	MS2	all	HoloFish	934	933_MS2_all_HoloFish_934	C27H49NO11	[M + H]+	O-glucuronides	Sugar acids and derivatives	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds
934	MS2	all	HoloFish	935	934_MS2_all_HoloFish_935	C13H20O4	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
935	MS2	all	HoloFish	936	935_MS2_all_HoloFish_936	C24H38N8O8	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
937	MS2	all	HoloFish	938	937_MS2_all_HoloFish_938	C8H9N4O7P	[M + Na]+	Purines and purine derivatives		Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds
938	MS2	all	HoloFish	939	938_MS2_all_HoloFish_939	C12H18O4	[M + H]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
939	MS2	all	HoloFish	940	939_MS2_all_HoloFish_940	C13H28O4	[M + H]+	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds
940	MS2	all	HoloFish	941	940_MS2_all_HoloFish_941	C18H29N7O6	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
943	MS2	all	HoloFish	944	943_MS2_all_HoloFish_944	C16H24N6O5	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
944	MS2	all	HoloFish	945	944_MS2_all_HoloFish_945	C34H55N7O9S2	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
945	MS2	all	HoloFish	946	945_MS2_all_HoloFish_946	C16H24O5	[M + H]+	Prostaglandins and related compounds	Prostaglandins and related compounds	Eicosanoids	Fatty Acyls	Lipids and lipid-like molecules
946	MS2	all	HoloFish	947	946_MS2_all_HoloFish_947	C18H30O3	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules
947	MS2	all	HoloFish	948	947_MS2_all_HoloFish_948	C15H29NO5	[M + H]+	Amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
