SIRIUS_ID	MS2	type	Project	FT_ID	name	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass
67	MS2	all	HoloFish	68	67_MS2_all_HoloFish_68	C8H14O2	[M + H]+	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
69	MS2	all	HoloFish	70	69_MS2_all_HoloFish_70	C9H14O2	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
70	MS2	all	HoloFish	71	70_MS2_all_HoloFish_71	C12H14O4	[M + H]+	Benzoic acid esters	Benzoic acid esters	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
72	MS2	all	HoloFish	73	72_MS2_all_HoloFish_73	C2H3Cl2O	[M + Na]+	Aryl-aldehydes	Aldehydes	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds
73	MS2	all	HoloFish	74	73_MS2_all_HoloFish_74	C3H3FN4O2	[M + K]+	Azoles			Azoles	Organoheterocyclic compounds
77	MS2	all	HoloFish	78	77_MS2_all_HoloFish_78	C15H27NO6	[M + H]+	O-glycosyl compounds	Glycosyl compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds
78	MS2	all	HoloFish	79	78_MS2_all_HoloFish_79	C2HNO2S	[M + Na]+	Azoles			Azoles	Organoheterocyclic compounds
79	MS2	all	HoloFish	80	79_MS2_all_HoloFish_80	C9H8O2	[M + H]+	Benzoic acids and derivatives		Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
80	MS2	all	HoloFish	81	80_MS2_all_HoloFish_81	C11H21FN4O	[M + H]+	Alkyl fluorides		Alkyl fluorides	Alkyl halides	Organohalogen compounds
81	MS2	all	HoloFish	82	81_MS2_all_HoloFish_82	C5H8O2	[M + H]+	Straight chain fatty acids	Straight chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
82	MS2	all	HoloFish	83	82_MS2_all_HoloFish_83	C7H12O2	[M + H]+	Monocarboxylic acids and derivatives		Monocarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
83	MS2	all	HoloFish	84	83_MS2_all_HoloFish_84	CH4BBrO3	[M + H]+	Boronic acids		Boronic acids	Boronic acid derivatives	Organic acids and derivatives
84	MS2	all	HoloFish	85	84_MS2_all_HoloFish_85	C3H6BF2O2	[M + Na]+	Boronic acid derivatives			Boronic acid derivatives	Organic acids and derivatives
85	MS2	all	HoloFish	86	85_MS2_all_HoloFish_86	C5H8O2	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
86	MS2	all	HoloFish	87	86_MS2_all_HoloFish_87	C3H4F3NO	[M + Na]+	Alkyl fluorides		Alkyl fluorides	Alkyl halides	Organohalogen compounds
87	MS2	all	HoloFish	88	87_MS2_all_HoloFish_88	C24H44N6O9	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
88	MS2	all	HoloFish	89	88_MS2_all_HoloFish_89	C30H33N5O	[M + H]+	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids and lipid-like molecules
90	MS2	all	HoloFish	91	90_MS2_all_HoloFish_91	C15H29NO3	[M + H]+	N-acyl-alpha amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
91	MS2	all	HoloFish	92	91_MS2_all_HoloFish_92	CH4O5P2	[M + H]+	Organic phosphonic acids		Organic phosphonic acids	Organic phosphonic acids and derivatives	Organic acids and derivatives
92	MS2	all	HoloFish	93	92_MS2_all_HoloFish_93	C16H27N	[M + H]+	Pyridines and derivatives			Pyridines and derivatives	Organoheterocyclic compounds
95	MS2	all	HoloFish	96	95_MS2_all_HoloFish_96	C16H30O4	[M + H]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
97	MS2	all	HoloFish	98	97_MS2_all_HoloFish_98	C14H28O2	[M + H]+	Fatty acids and conjugates		Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
100	MS2	all	HoloFish	101	100_MS2_all_HoloFish_101	C24H34O2	[M + H]+	"Bile acids, alcohols and derivatives"		"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
101	MS2	all	HoloFish	102	101_MS2_all_HoloFish_102	C8H9N4O7P	[M + Na]+	Purine nucleotides			Purine nucleotides	"Nucleosides, nucleotides, and analogues"
102	MS2	all	HoloFish	103	102_MS2_all_HoloFish_103	C16H30O4	[M + H]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
103	MS2	all	HoloFish	104	103_MS2_all_HoloFish_104	C9H12N2O6P2	[M + Na]+	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds
104	MS2	all	HoloFish	105	104_MS2_all_HoloFish_105	C15H25N	[M + H]+	Organonitrogen compounds			Organonitrogen compounds	Organic nitrogen compounds
106	MS2	all	HoloFish	107	106_MS2_all_HoloFish_107	C24H38O4	[M + H]+	Benzoic acid esters	Benzoic acid esters	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
107	MS2	all	HoloFish	108	107_MS2_all_HoloFish_108	C16H32O4	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
108	MS2	all	HoloFish	109	108_MS2_all_HoloFish_109	C13H25NO2	[M + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
109	MS2	all	HoloFish	110	109_MS2_all_HoloFish_110	C27H39N3O10	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
111	MS2	all	HoloFish	112	111_MS2_all_HoloFish_112	C24H40O5	[M + H]+	"Trihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
112	MS2	all	HoloFish	113	112_MS2_all_HoloFish_113	C22H36O3	[M + H]+	Diterpenoids		Diterpenoids	Prenol lipids	Lipids and lipid-like molecules
113	MS2	all	HoloFish	114	113_MS2_all_HoloFish_114	C24H36O4	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
115	MS2	all	HoloFish	116	115_MS2_all_HoloFish_116	C30H35N5O	[M + H]+	3-hydroxysteroids	3-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
116	MS2	all	HoloFish	117	116_MS2_all_HoloFish_117	C18H28O2	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
117	MS2	all	HoloFish	118	117_MS2_all_HoloFish_118	C25H43NO6	[M + H]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
118	MS2	all	HoloFish	119	118_MS2_all_HoloFish_119	C25H40O6	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
119	MS2	all	HoloFish	120	119_MS2_all_HoloFish_120	C22H30O3	[M + H]+	Very long-chain fatty acids	Very long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
120	MS2	all	HoloFish	121	120_MS2_all_HoloFish_121	C17H26O4	[M + H]+	Secondary alcohols	Secondary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds
121	MS2	all	HoloFish	122	121_MS2_all_HoloFish_122	C20H32O3	[M + H]+	Diterpenoids		Diterpenoids	Prenol lipids	Lipids and lipid-like molecules
122	MS2	all	HoloFish	123	122_MS2_all_HoloFish_123	C19H36O4S	[M + H]+	Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
124	MS2	all	HoloFish	125	124_MS2_all_HoloFish_125	C17H28O5	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
125	MS2	all	HoloFish	126	125_MS2_all_HoloFish_126	C16H30F2N2	[M + H]+	Aralkylamines	Aralkylamines	Amines	Organonitrogen compounds	Organic nitrogen compounds
126	MS2	all	HoloFish	127	126_MS2_all_HoloFish_127	C15H24O3	[M + H]+	Alcohols and polyols		Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds
127	MS2	all	HoloFish	128	127_MS2_all_HoloFish_128	C20H28O3	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
128	MS2	all	HoloFish	129	128_MS2_all_HoloFish_129	C18H30O2	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules
129	MS2	all	HoloFish	130	129_MS2_all_HoloFish_130	C10H16O5	[M + H]+	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
130	MS2	all	HoloFish	131	130_MS2_all_HoloFish_131	C30H35N5O2	[M + H]+	3-beta-hydroxy delta-5-steroids	3-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
131	MS2	all	HoloFish	132	131_MS2_all_HoloFish_132	C6H10O2	[M + H]+	Straight chain fatty acids	Straight chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
132	MS2	all	HoloFish	133	132_MS2_all_HoloFish_133	C22H32O5	[M + H]+	Prostaglandins and related compounds	Prostaglandins and related compounds	Eicosanoids	Fatty Acyls	Lipids and lipid-like molecules
133	MS2	all	HoloFish	134	133_MS2_all_HoloFish_134	C24H41NO5	[M + H]+	"Trihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
134	MS2	all	HoloFish	135	134_MS2_all_HoloFish_135	C23H36O4	[M + Na]+	Benzoic acids	Benzoic acids	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
135	MS2	all	HoloFish	136	135_MS2_all_HoloFish_136	C8H12	[M + H]+	Branched unsaturated hydrocarbons		Branched unsaturated hydrocarbons	Unsaturated hydrocarbons	Hydrocarbons
136	MS2	all	HoloFish	137	136_MS2_all_HoloFish_137	C6H12B2N2O	[M + H]+	Boronic acids		Boronic acids	Boronic acid derivatives	Organic acids and derivatives
138	MS2	all	HoloFish	139	138_MS2_all_HoloFish_139	C18H28O2	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules
139	MS2	all	HoloFish	140	139_MS2_all_HoloFish_140	C14H20O2	[M + H]+	Prenol lipids			Prenol lipids	Lipids and lipid-like molecules
140	MS2	all	HoloFish	141	140_MS2_all_HoloFish_141	C25H40O6	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
141	MS2	all	HoloFish	142	141_MS2_all_HoloFish_142	C15H22O2	[M + H]+	Phenylpropanes		Phenylpropanes	Benzene and substituted derivatives	Benzenoids
142	MS2	all	HoloFish	143	142_MS2_all_HoloFish_143	C24H40O4	[M + H]+	"Dihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
143	MS2	all	HoloFish	144	143_MS2_all_HoloFish_144	C25H26O3	[M + H]+	Benzenoids				Benzenoids
144	MS2	all	HoloFish	145	144_MS2_all_HoloFish_145	C24H44N6O9	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
146	MS2	all	HoloFish	147	146_MS2_all_HoloFish_147	C17H37N2O3P	[M + H]+	Organic phosphoramides		Organic phosphoramides	Organic phosphoric acids and derivatives	Organic acids and derivatives
147	MS2	all	HoloFish	148	147_MS2_all_HoloFish_148	C23H39NO14	[M + H]+	Oxanes			Oxanes	Organoheterocyclic compounds
149	MS2	all	HoloFish	150	149_MS2_all_HoloFish_150	C20H39NO5	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
151	MS2	all	HoloFish	152	151_MS2_all_HoloFish_152	C24H36O3	[M + H]+	"Monohydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
152	MS2	all	HoloFish	153	152_MS2_all_HoloFish_153	C21H39NO6	[M + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
154	MS2	all	HoloFish	155	154_MS2_all_HoloFish_155	C24H30O6	[M + H]+	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids
155	MS2	all	HoloFish	156	155_MS2_all_HoloFish_156	C24H38O5	[M + H]+	"Trihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
156	MS2	all	HoloFish	157	156_MS2_all_HoloFish_157	C24H38O4	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
157	MS2	all	HoloFish	158	157_MS2_all_HoloFish_158	C24H38O3	[M + H]+	"Dihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
158	MS2	all	HoloFish	159	158_MS2_all_HoloFish_159	C21H30N2O2S	[M + H]+	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids and lipid-like molecules
159	MS2	all	HoloFish	160	159_MS2_all_HoloFish_160	C18H35NO4	[M + H]+	Acyl carnitines	Acyl carnitines	Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
161	MS2	all	HoloFish	162	161_MS2_all_HoloFish_162	C43H58N6O9	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
164	MS2	all	HoloFish	165	164_MS2_all_HoloFish_165	C30H37N5O2	[M + H]+	"Dihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
165	MS2	all	HoloFish	166	165_MS2_all_HoloFish_166	C18H36O5	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
166	MS2	all	HoloFish	167	166_MS2_all_HoloFish_167	C28H42N4O7	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
167	MS2	all	HoloFish	168	167_MS2_all_HoloFish_168	C27H41N3O7	[M + H]+	Cyclic depsipeptides	Cyclic depsipeptides	Depsipeptides	Peptidomimetics	Organic acids and derivatives
169	MS2	all	HoloFish	170	169_MS2_all_HoloFish_170	C18H34O4	[M + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
170	MS2	all	HoloFish	171	170_MS2_all_HoloFish_171	C34H43N5O7	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
171	MS2	all	HoloFish	172	171_MS2_all_HoloFish_172	C12H18O2	[M + H]+	Carbonyl compounds		Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds
172	MS2	all	HoloFish	173	172_MS2_all_HoloFish_173	C18H37BN6O5	[M + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules
173	MS2	all	HoloFish	174	173_MS2_all_HoloFish_174	C34H43N5O8	[M + H]+	Peptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
174	MS2	all	HoloFish	175	174_MS2_all_HoloFish_175	C22H42O4	[M + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
175	MS2	all	HoloFish	176	175_MS2_all_HoloFish_176	C21H39NO5	[M + H]+	Acyl carnitines	Acyl carnitines	Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
176	MS2	all	HoloFish	177	176_MS2_all_HoloFish_177	C14H22N2O3	[M + H]+	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids
177	MS2	all	HoloFish	178	177_MS2_all_HoloFish_178	C16H22O4	[M + H]+	Benzoic acid esters	Benzoic acid esters	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
179	MS2	all	HoloFish	180	179_MS2_all_HoloFish_180	C18H32O3	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules
181	MS2	all	HoloFish	182	181_MS2_all_HoloFish_182	C18H34O4	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
182	MS2	all	HoloFish	183	182_MS2_all_HoloFish_183	C29H35NO4	[M + H]+	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids and lipid-like molecules
183	MS2	all	HoloFish	184	183_MS2_all_HoloFish_184	C13H16O3	[M + H]+	Alkyl aryl ethers	Alkyl aryl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds
185	MS2	all	HoloFish	186	185_MS2_all_HoloFish_186	C19H37NO5S	[M + H]+	Alpha amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
186	MS2	all	HoloFish	187	186_MS2_all_HoloFish_187	C18H33ClN2O	[M + Na]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
187	MS2	all	HoloFish	188	187_MS2_all_HoloFish_188	C17H35N7O4S	[M + H]+	Biotin and derivatives			Biotin and derivatives	Organoheterocyclic compounds
188	MS2	all	HoloFish	189	188_MS2_all_HoloFish_189	C18H18O5	[M + H]+	Benzodioxoles			Benzodioxoles	Organoheterocyclic compounds
189	MS2	all	HoloFish	190	189_MS2_all_HoloFish_190	C24H35N5O2	[M + H]+	Alpha amino acid amides	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
190	MS2	all	HoloFish	191	190_MS2_all_HoloFish_191	C19H37NO5	[M + H]+	Acyl carnitines	Acyl carnitines	Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
191	MS2	all	HoloFish	192	191_MS2_all_HoloFish_192	C18H32BN3O5	[M + Na]+	Phenoxy compounds		Phenoxy compounds	Benzene and substituted derivatives	Benzenoids
193	MS2	all	HoloFish	194	193_MS2_all_HoloFish_194	C14H26O4	[M + H]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
194	MS2	all	HoloFish	195	194_MS2_all_HoloFish_195	C16H20O4	[M + H]+	Lactones			Lactones	Organoheterocyclic compounds
195	MS2	all	HoloFish	196	195_MS2_all_HoloFish_196	C16H25N5O	[M + H]+	Azoles			Azoles	Organoheterocyclic compounds
196	MS2	all	HoloFish	197	196_MS2_all_HoloFish_197	C14H24O3	[M + H]+	Monocarboxylic acids and derivatives		Monocarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
197	MS2	all	HoloFish	198	197_MS2_all_HoloFish_198	C14H31NO2S	[M + H]+	Phenylpropanes		Phenylpropanes	Benzene and substituted derivatives	Benzenoids
198	MS2	all	HoloFish	199	198_MS2_all_HoloFish_199	C29H35NO4	[M + H]+	Delta-5-steroids		Delta-5-steroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
199	MS2	all	HoloFish	200	199_MS2_all_HoloFish_200	C33H37NO7	[M + H]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
200	MS2	all	HoloFish	201	200_MS2_all_HoloFish_201	C32H35N5O3	[M + H]+	3-hydroxysteroids	3-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
201	MS2	all	HoloFish	202	201_MS2_all_HoloFish_202	C33H35NO6	[M + H]+	1-hydroxy-2-unsubstituted benzenoids		1-hydroxy-2-unsubstituted benzenoids	Phenols	Benzenoids
203	MS2	all	HoloFish	204	203_MS2_all_HoloFish_204	C34H27N5O4	[M + H]+	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids
205	MS2	all	HoloFish	206	205_MS2_all_HoloFish_206	C9H16O3	[M + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules
206	MS2	all	HoloFish	207	206_MS2_all_HoloFish_207	C12H20O3	[M + H]+	Carboxylic acids		Carboxylic acids	Carboxylic acids and derivatives	Organic acids and derivatives
207	MS2	all	HoloFish	208	207_MS2_all_HoloFish_208	C24H33NO6	[M + H]+	Cyclic ketones	Ketones	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds
209	MS2	all	HoloFish	210	209_MS2_all_HoloFish_210	C12H18O2	[M + H]+	Carbonyl compounds		Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds
210	MS2	all	HoloFish	211	210_MS2_all_HoloFish_211	C32H46O9	[M + Na]+	14-hydroxysteroids	14-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
211	MS2	all	HoloFish	212	211_MS2_all_HoloFish_212	C26H42FNO8	[M + Na]+	"Trihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
213	MS2	all	HoloFish	214	213_MS2_all_HoloFish_214	C41H54N6O7	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
216	MS2	all	HoloFish	217	216_MS2_all_HoloFish_217	C24H36BClN2O5	[M + Na]+	"Bile acids, alcohols and derivatives"		"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
217	MS2	all	HoloFish	218	217_MS2_all_HoloFish_218	C21H39NO6	[M + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
218	MS2	all	HoloFish	219	218_MS2_all_HoloFish_219	C25H44O6	[M + H]+	"1,2-diacylglycerols"	Diacylglycerols	Diradylglycerols	Glycerolipids	Lipids and lipid-like molecules
220	MS2	all	HoloFish	221	220_MS2_all_HoloFish_221	C17H31N7O3	[M + H]+	Peptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
222	MS2	all	HoloFish	223	222_MS2_all_HoloFish_223	C13H14O2	[M + H]+	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids
223	MS2	all	HoloFish	224	223_MS2_all_HoloFish_224	C19H35NO5	[M + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
226	MS2	all	HoloFish	227	226_MS2_all_HoloFish_227	C27H43BN4O8	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
227	MS2	all	HoloFish	228	227_MS2_all_HoloFish_228	C14H23N	[M + H]+	Pyridines and derivatives			Pyridines and derivatives	Organoheterocyclic compounds
228	MS2	all	HoloFish	229	228_MS2_all_HoloFish_229	C9H24N4O4	[M + H]+	Monoalkylamines	Primary amines	Amines	Organonitrogen compounds	Organic nitrogen compounds
230	MS2	all	HoloFish	231	230_MS2_all_HoloFish_231	C25H45NO6	[M + H]+	Lipids and lipid-like molecules				Lipids and lipid-like molecules
231	MS2	all	HoloFish	232	231_MS2_all_HoloFish_232	C10H16O5	[M + H]+	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
232	MS2	all	HoloFish	233	232_MS2_all_HoloFish_233	C6H10O2	[M + H]+	Straight chain fatty acids	Straight chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
233	MS2	all	HoloFish	234	233_MS2_all_HoloFish_234	C8H14O2	[M + H]+	Carboxylic acid derivatives		Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
234	MS2	all	HoloFish	235	234_MS2_all_HoloFish_235	C17H29NO7	[M + H]+	Monosaccharides	Monosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds
235	MS2	all	HoloFish	236	235_MS2_all_HoloFish_236	C5H8O2	[M + H]+	Straight chain fatty acids	Straight chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
236	MS2	all	HoloFish	237	236_MS2_all_HoloFish_237	C7H12O2	[M + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules
237	MS2	all	HoloFish	238	237_MS2_all_HoloFish_238	CH4O5P2	[M + H]+	Organic phosphonic acids		Organic phosphonic acids	Organic phosphonic acids and derivatives	Organic acids and derivatives
238	MS2	all	HoloFish	239	238_MS2_all_HoloFish_239	C18H34O4	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules
239	MS2	all	HoloFish	240	239_MS2_all_HoloFish_240	C27H42N6O11	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
240	MS2	all	HoloFish	241	240_MS2_all_HoloFish_241	C25H34N10O6	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
241	MS2	all	HoloFish	242	241_MS2_all_HoloFish_242	C27H42N6O10	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
242	MS2	all	HoloFish	243	242_MS2_all_HoloFish_243	C3H3FN4O2	[M + K]+	Azoles			Azoles	Organoheterocyclic compounds
243	MS2	all	HoloFish	244	243_MS2_all_HoloFish_244	C27H42N6O11	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
244	MS2	all	HoloFish	245	244_MS2_all_HoloFish_245	C27H42N6O10	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
245	MS2	all	HoloFish	246	245_MS2_all_HoloFish_246	C18H35NO4	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
