feature	value	factor	R1.superclass	R2.class	R3.subclass	R4.level5	R5.specific	top.anno	anno.figure	robust
FT_210	-0.358702696185464	Factor1	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds		Carbonyl compounds	Oxygens		Yes
FT_212	-0.69688601276997	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Trihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_214	0.543468578405751	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_218	0.951211178016479	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters		Fatty acid esters	Lipids		Yes
FT_220	1.1452312902576	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_225	0.802016975678843	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_226	0.991649783419991	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_228	0.24099413924617	Factor1	Organoheterocyclic compounds	Pyridines and derivatives			Pyridines and derivatives	Organoheterocyclics		Yes
FT_230	0.402323744679643	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_231	0.395854698420562	Factor1	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Lipids		Yes
FT_240	0.813317605734045	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_241	0.393399632487292	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_241	-0.227876968161582	Factor7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		No
FT_242	0.558169348733419	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_244	0.570862802766082	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_246	0.360259712909029	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids	Lipids		No
FT_247	-0.204018806862819	Factor1	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols	Primary alcohols	Oxygens		No
FT_248	0.292384471208845	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_249	0.833176077831182	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_252	0.601084167638766	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-L-glutamines	Organic.acids	amino.acids	Yes
FT_253	-0.759655358787761	Factor1	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Lipids		Yes
FT_254	-0.336241399466359	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Monocarboxylic acids and derivatives		Monocarboxylic acids and derivatives	Organic.acids		Yes
FT_256	0.265662926292141	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_259	0.322794074313592	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids	Lipids		No
FT_260	0.726139137278661	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_261	0.835955777991377	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives	Organic.acids	amino.acids	Yes
FT_264	-0.421448245884968	Factor1	Organoheterocyclic compounds	Azoles	Imidazoles		Imidazoles	Organoheterocyclics		Yes
FT_265	0.591912748697726	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_267	1.00349062345094	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_268	1.04844177322556	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_269	1.06933264898199	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Histidine and derivatives	Organic.acids	amino.acids	Yes
FT_27	-0.576840772335282	Factor1	Organoheterocyclic compounds	Azoles	Thiadiazoles		Thiadiazoles	Organoheterocyclics		Yes
FT_270	1.14530433884315	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_271	1.13312339980925	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_272	0.273827585069983	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids		No
FT_273	0.244920453795356	Factor1	Organoheterocyclic compounds	Pyridines and derivatives			Pyridines and derivatives	Organoheterocyclics		Yes
FT_274	0.757945737556826	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_275	0.933871030706747	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters		Fatty acid esters	Lipids		Yes
FT_276	0.696008135399869	Factor1	Organic nitrogen compounds	Organonitrogen compounds	Amines	Alkanolamines	1,2-aminoalcohols	Nitrogens		Yes
FT_277	0.638701207972791	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_279	1.02964542013391	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_280	1.03793645145174	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_281	0.843569173429991	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_282	0.86840699868397	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides	Organic.acids		Yes
FT_283	0.752759857398549	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_284	0.962110683289497	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_285	1.06541312350032	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_286	-0.495558147019733	Factor3	NA	NA	NA	NA	NA	unknown		Yes
FT_286	0.551553294297322	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_287	0.481858098187078	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_289	0.394595191291471	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_292	0.303327077365927	Factor1	Organic nitrogen compounds	Organonitrogen compounds			Organonitrogen compounds	Nitrogens		Yes
FT_293	0.929232512358183	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids	Organic.acids	amino.acids	Yes
FT_295	0.70687499155895	Factor1	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes	Benzenoids		Yes
FT_297	0.640690741818259	Factor1	Alkaloids and derivatives				Alkaloids and derivatives	rare.other		Yes
FT_3	-1.17262638171286	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_30	-0.56698224029005	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives	Organic.acids	amino.acids	Yes
FT_301	-0.30946292209713	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids		Hydroxysteroids	Lipids		Yes
FT_306	0.381258894349977	Factor1	Organic acids and derivatives	Borinic acid derivatives	Borinic acid esters		Borinic acid esters	Organic.acids		Yes
FT_311	0.304034217489017	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		No
FT_313	-0.20093104331613	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_314	0.339151862753681	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_315	0.396718393052477	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-L-alpha-amino acids	Organic.acids	amino.acids	Yes
FT_316	-0.720486941520659	Factor1	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Lipids		Yes
FT_317	0.276294470253696	Factor1	Organic nitrogen compounds	Organonitrogen compounds			Organonitrogen compounds	Nitrogens		Yes
FT_318	0.353903086692877	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_320	0.741899410675215	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_321	-0.241627552810783	Factor1	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives	Organoheterocyclics		No
FT_322	-0.737323905371184	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_326	0.293843345661497	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides	Organic.acids		Yes
FT_327	-0.678351213303125	Factor1	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Lipids		Yes
FT_329	0.254221283344527	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		No
FT_330	-0.303201836953562	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives	Organic.acids	amino.acids	No
FT_331	-0.864862517987753	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Lipids		Yes
FT_332	0.802886526849251	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_333	-1.04569191313091	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Lipids		Yes
FT_340	-0.390706707781253	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_344	-0.690311079743636	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_344	-0.220440622141964	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	No
FT_35	-0.305671795164023	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	Yes
FT_350	1.01409978317244	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_352	0.475807624972137	Factor1	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Secondary alcohols	Oxygens		Yes
FT_353	0.582784470601121	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_355	0.454855473477234	Factor1	Organoheterocyclic compounds	Heteroaromatic compounds			Heteroaromatic compounds	Organoheterocyclics		Yes
FT_356	0.34733741153821	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids	Organic.acids	amino.acids	No
FT_357	0.45114421626385	Factor1	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Secondary alcohols	Oxygens		Yes
FT_358	0.632348140340831	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_360	0.81024218159268	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_363	-0.203907108532482	Factor1	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminosaccharides	Aminocyclitol glycosides	Oxygens		No
FT_369	0.218542396147433	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_370	-0.318490592997648	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_372	0.726919985427875	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_373	-0.697864440858995	Factor1	Benzenoids	Phenols			Phenols	Benzenoids		Yes
FT_374	-0.357910996077767	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_376	0.206197134748215	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_379	0.846621875890708	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives	Organic.acids	amino.acids	Yes
FT_382	-0.39035017536284	Factor1	Organic nitrogen compounds	Organonitrogen compounds	Amines	Primary amines	Monoalkylamines	Nitrogens		Yes
FT_383	0.519961229879101	Factor1	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes	Benzenoids		Yes
FT_386	0.477266800912792	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Glutamic acid and derivatives	Organic.acids	amino.acids	Yes
FT_393	-0.253487149141228	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_395	0.396494488760643	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Glutamic acid and derivatives	Organic.acids	amino.acids	Yes
FT_397	-0.420249590463548	Factor1	Organohalogen compounds	Aryl halides	Aryl fluorides		Aryl fluorides	Organohalogens		Yes
FT_398	0.53469585673876	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_40	-0.584438435466659	Factor1	Organoheterocyclic compounds	Azoles			Azoles	Organoheterocyclics		Yes
FT_401	0.291712858247652	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_404	0.915393467141157	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Acyl carnitines	Acyl carnitines	Lipids	acyl.carnitines	Yes
FT_409	0.389329436287033	Factor1	Organoheterocyclic compounds	Pyridines and derivatives			Pyridines and derivatives	Organoheterocyclics		Yes
FT_411	0.65527943888394	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_412	0.610097979569105	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_414	0.631894762902088	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides	Organic.acids		Yes
FT_415	-0.751879814627117	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_417	-0.29753447558232	Factor1	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminosaccharides	Aminocyclitol glycosides	Oxygens		Yes
FT_418	0.611257373306286	Factor1	Lipids and lipid-like molecules	Glycerolipids	Glycosylglycerols		Glycosylglycerols	Lipids		Yes
FT_419	0.896127171342316	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_42	-0.595431463842857	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_421	-0.260956979889701	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	Yes
FT_423	-0.731349043165099	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	3-hydroxysteroids	3-beta-hydroxy delta-5-steroids	Lipids	hydroxysteroids	Yes
FT_426	0.294079597591037	Factor1	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	Phenylalkylamines	Nitrogens		Yes
FT_43	-0.205598651853326	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Lipids		Yes
