Lab.ID,Feed.Type,Fish.nr,Sample.Type,Fish.ID,Replicate,Sample
BM_90_GutTissue,BioMar,90,GutTissue,BM_90,b,BM_90b
BM_97_GutTissue,BioMar,97,GutTissue,BM_97,b,BM_97b
BM_103_GutTissue,BioMar,103,GutTissue,BM_103,b,BM_103b
BM_113_GutTissue,BioMar,113,GutTissue,BM_113,b,BM_113b
BM_121_GutTissue,BioMar,121,GutTissue,BM_121,b,BM_121b
BM_132_GutTissue,BioMar,132,GutTissue,BM_132,b,BM_132b
BM_140_GutTissue,BioMar,140,GutTissue,BM_140,a,BM_140a
BM_144_GutTissue,BioMar,144,GutTissue,BM_144,b,BM_144b
BM_154_GutTissue,BioMar,154,GutTissue,BM_154,b,BM_154b
BM_168_GutTissue,BioMar,168,GutTissue,BM_168,b,BM_168b
BM_183_GutTissue,BioMar,183,GutTissue,BM_183,b,BM_183b
BM_189_GutTissue,BioMar,189,GutTissue,BM_189,b,BM_189b
BM_199_GutTissue,BioMar,199,GutTissue,BM_199,b,BM_199b
BM_207_GutTissue,BioMar,207,GutTissue,BM_207,b,BM_207b
BM_421_GutTissue,BioMar,421,GutTissue,BM_421,b,BM_421b
BM_458_GutTissue,BioMar,458,GutTissue,BM_458,b,BM_458b
BM_445_GutTissue,BioMar,445,GutTissue,BM_445,a,BM_445a
Ext.blank1_GutTissue,blank,blank_GutTissue,blank,Ext_blank1,b,Ext_blank1b
Ext.blank2_GutTissue,blank,blank_GutTissue,blank,Ext_blank2,b,Ext_blank2b
E_216_GutTissue,EWOS,216,GutTissue,E_216,b,E_216b
E_227_GutTissue,EWOS,227,GutTissue,E_227,b,E_227b
E_231_GutTissue,EWOS,231,GutTissue,E_231,b,E_231b
E_241_GutTissue,EWOS,241,GutTissue,E_241,b,E_241b
E_242_GutTissue,EWOS,242,GutTissue,E_242,b,E_242b
E_243_GutTissue,EWOS,243,GutTissue,E_243,b,E_243b
E_249_GutTissue,EWOS,249,GutTissue,E_249,b,E_249b
E_263_GutTissue,EWOS,263,GutTissue,E_263,b,E_263b
E_266_GutTissue,EWOS,266,GutTissue,E_266,b,E_266b
E_271_GutTissue,EWOS,271,GutTissue,E_271,b,E_271b
E_281_GutTissue,EWOS,281,GutTissue,E_281,b,E_281b
E_292_GutTissue,EWOS,292,GutTissue,E_292,b,E_292b
E_299_GutTissue,EWOS,299,GutTissue,E_299,b,E_299b
E_300_GutTissue,EWOS,300,GutTissue,E_300,b,E_300b
E_316_GutTissue,EWOS,316,GutTissue,E_316,b,E_316b
E_318_GutTissue,EWOS,318,GutTissue,E_318,b,E_318b
E_322_GutTissue,EWOS,322,GutTissue,E_322,b,E_322b
E_323_GutTissue,EWOS,323,GutTissue,E_323,a,E_323a
E_326_GutTissue,EWOS,326,GutTissue,E_326,b,E_326b
E_329_GutTissue,EWOS,329,GutTissue,E_329,b,E_329b
E_340_GutTissue,EWOS,340,GutTissue,E_340,b,E_340b
E_349_GutTissue,EWOS,349,GutTissue,E_349,b,E_349b
E_355_GutTissue,EWOS,355,GutTissue,E_355,b,E_355b
E_365_GutTissue,EWOS,365,GutTissue,E_365,b,E_365b
E_377_GutTissue,EWOS,377,GutTissue,E_377,b,E_377b
E_383_GutTissue,EWOS,383,GutTissue,E_383,a,E_383a
E_389_GutTissue,EWOS,389,GutTissue,E_389,b,E_389b
E_399_GutTissue,EWOS,399,GutTissue,E_399,b,E_399b
E_410_GutTissue,EWOS,410,GutTissue,E_410,a,E_410a
E_416_GutTissue,EWOS,416,GutTissue,E_416,b,E_416b
BM_21_GutContent,BioMar,21,GutContent,BM_21,b,BM_21b
BM_140_GutContent,BioMar,140,GutContent,BM_140,b,BM_140b
BM_445_GutContent,BioMar,445,GutContent,BM_445,b,BM_445b
E_323_GutContent,EWOS,323,GutContent,E_323,b,E_323b
E_383_GutContent,EWOS,383,GutContent,E_383,b,E_383b
E_410_GutContent,EWOS,410,GutContent,E_410,b,E_410b
