org.order,Lims.number,Fish.nr,Species,Organ,Diet,Analyte,Result.raw0,Result.num,Unit,Unit.type,Analyse,Latin.species.name,Analyse.Status,Full.species.name,Result.raw1,Prosjekt.nr.
154,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:1n-7 %,"2,8",2.8,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"2,8",15359
155,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:1n-9,"112,81",112.81,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"112,81",15359
156,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:1n-9 %,"36,9",36.9,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"36,9",15359
157,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:2n-6,"40,65",40.65,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"40,65",15359
158,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:2n-6 %,"13,3",13.3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"13,3",15359
159,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:3n-3,"20,83",20.83,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"20,83",15359
160,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:3n-3 %,"6,8",6.8,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"6,8",15359
161,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:3n-6,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
162,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:3n-6 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
163,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:4n-3,"2,78",2.78,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"2,78",15359
164,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,18:4n-3 %,"0,9",0.9,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,9",15359
165,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:00,"1,38",1.38,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"1,38",15359
166,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:0 %,"0,5",0.5,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,5",15359
167,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:1n-11,"0,61",0.61,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,61",15359
168,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:1n-11 %,"0,2",0.2,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,2",15359
169,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:1n-7,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
170,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:1n-7 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
171,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:1n-9,"8,17",8.17,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"8,17",15359
172,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:1n-9 %,"2,7",2.7,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"2,7",15359
173,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:2n-6,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
174,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:2n-6 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
175,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:3n-3,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
176,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:3n-3 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
177,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:3n-6,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
178,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:3n-6 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
179,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:3n-9,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
180,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:3n-9 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
181,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:4n-3,"1,01",1.01,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"1,01",15359
182,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:4n-3 %,"0,3",0.3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,3",15359
183,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:4n-6 (ARA),"1,18",1.18,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"1,18",15359
184,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:4n-6 (ARA) %,"0,4",0.4,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,4",15359
185,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:5n-3 (EPA),"13,30",13.3,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"13,30",15359
186,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,20:5n-3 (EPA) %,"4,4",4.4,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"4,4",15359
187,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,21:5n-3,"0,63",0.63,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,63",15359
188,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,21:5n-3 %,"0,2",0.2,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,2",15359
189,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:00,"0,80",0.8,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,80",15359
190,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:0 %,"0,3",0.3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,3",15359
191,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:1n-11,"8,39",8.39,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"8,39",15359
192,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:1n-11 %,"2,7",2.7,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"2,7",15359
193,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:1n-9,"0,95",0.95,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,95",15359
194,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:1n-9 %,"0,3",0.3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,3",15359
195,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:4n-6,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
196,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:4n-6 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
197,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:5n-3 (DPA),"2,06",2.06,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"2,06",15359
198,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:5n-3 (DPA) %,"0,7",0.7,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,7",15359
199,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:5n-6,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
200,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:5n-6 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
201,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:6n-3 (DHA),"10,53",10.53,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"10,53",15359
202,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,22:6n-3 (DHA) %,"3,4",3.4,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"3,4",15359
203,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:00:00,"0,39",0.39,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,39",15359
204,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:0 %,"0,1",0.1,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,1",15359
205,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:1n-9,"0,78",0.78,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,78",15359
206,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:1n-9 %,"0,3",0.3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,3",15359
207,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:5n-3,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
208,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:5n-3 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
209,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:6n-3,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
210,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,24:6n-3 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
211,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,n-3/n-6,"1,3",1.3,-,NONE,FETTS_SAMM,,C,Fish.feed,"1,3",15359
212,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,n-3/n-6 %,"1,3",1.3,-,NONE,FETTS_SAMM,,C,Fish.feed,"1,3",15359
213,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,n-6/n-3,"0,8",0.8,-,NONE,FETTS_SAMM,,C,Fish.feed,"0,8",15359
214,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,n-6/n-3 %,"0,8",0.8,-,NONE,FETTS_SAMM,,C,Fish.feed,"0,8",15359
215,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 16:1,"10,2",10.2,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"10,2",15359
216,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 16:1 %,"3,4",3.4,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"3,4",15359
217,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 18:1,122,122,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,122,15359
218,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 18:1 %,"39,9",39.9,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"39,9",15359
219,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 20:1,"8,79",8.79,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"8,79",15359
220,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 20:1 %,"2,9",2.9,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"2,9",15359
221,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 22:1,"9,34",9.34,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"9,34",15359
222,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum 22:1 %,"3,1",3.1,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"3,1",15359
223,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum en-umettet,151,151,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,151,15359
224,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum en-umettet %,"49,5",49.5,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"49,5",15359
225,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum EPA + DHA,"23,8",23.8,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"23,8",15359
226,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum EPA + DHA %,"7,8",7.8,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"7,8",15359
227,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum fettsyrer,305,305,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,305,15359
228,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum fettsyrer %,"100,0",100,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"100,0",15359
229,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum flerumettet,"96,2",96.2,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"96,2",15359
230,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum flerumettet %,"31,5",31.5,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"31,5",15359
231,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum identifiserte,302,302,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,302,15359
232,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum identifiserte %,"99,0",99,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"99,0",15359
233,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum mettet,"53,5",53.5,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"53,5",15359
234,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum mettet %,"17,5",17.5,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"17,5",15359
235,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum n-3,"53,2",53.2,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"53,2",15359
236,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum n-3 %,"17,4",17.4,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"17,4",15359
237,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum n-6,"41,8",41.8,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"41,8",15359
238,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum n-6 %,"13,7",13.7,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"13,7",15359
239,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum uidentifiserte,"3,10",3.1,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"3,10",15359
240,2019-292/1,Feed2.feed,Fish.feed,Fish.feed,Feed2,Sum uidentifiserte %,"1,0",1,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"1,0",15359
