Alpha.INT	NMDS1	NMDS2	Photo.PA	Ali.PA	Myco.PA	Msal.high
NA	NA	NA	NA	NA	NA	NA
-0.10570510917482	0.438509685852307	0.363170468613041	1	1	1	1
-1.03972133017361	-0.90105258120338	-0.232864088641555	0	0	0	1
-0.0736026900308321	0.973649751720684	-1.46721455959158	1	0	1	1
-0.481583231148329	-1.2468704478978	-0.497203936360705	0	0	1	1
-1.55520203763208	-0.799499138454414	-0.0909557071135496	0	0	0	1
NA	NA	NA	NA	NA	NA	NA
-0.61543829749622	-0.140153855904723	-0.747467861168759	0	0	1	1
1.0962733150227	-0.968675635488058	1.93884121917595	1	1	0	0
-0.965721269573886	-0.308995960498014	-0.345429135694811	0	0	1	1
NA	NA	NA	NA	NA	NA	NA
0.577242707940194	0.972103483460112	-1.84988945478646	0	0	1	1
-1.55520203763208	-0.799496188084904	-0.0909489730288343	0	0	0	1
-0.752865715340722	-0.220231393829093	-0.413395267439779	0	0	1	1
-1.55520203763208	-0.799497659391133	-0.0909520757923687	0	0	0	1
-1.16914072360772	-0.816160477753158	-0.201980907441667	0	0	0	1
-0.022382478299418	0.0434800174798057	-0.658837315197628	0	0	1	1
-0.342276449324523	-0.111216374012945	-0.954059538690988	0	0	1	1
0.623184531790679	0.771576428512232	1.20096165924901	1	0	1	0
0.662496524885315	0.729033294622139	0.733550643047984	1	0	1	0
-0.98631289921053	-0.937718294353682	-0.261545407759396	0	0	0	1
0.877708296796082	0.904522683920075	1.24467019441496	1	0	1	0
-0.0864327054921867	0.0280500646378283	0.740382875224118	1	0	0	1
-1.55520203763208	-0.799382329067605	-0.0908543980086222	0	0	0	1
-1.55520203763208	-0.799498320140691	-0.0909533944633557	0	0	0	1
-0.00959183690452875	0.0377237775813974	-1.01943030879459	0	0	1	1
0.355868862366476	0.7068677947836	-2.32485316112497	0	0	1	1
0.0223824782994179	-0.547857776703709	-1.80344166626787	0	0	1	1
2.66700465327428	2.70338891578341	0.501636106257004	1	0	1	0
-1.0180094411065	-0.912410717779939	-0.232425075754566	0	0	0	1
0.761382609686426	1.39722527575751	-2.76543893358797	0	0	1	1
2.07200144837793	1.59290134104011	0.846141141408709	1	0	1	0
-0.328746983275048	-1.30846591946092	-0.381277652700042	0	0	0	1
-1.55520203763208	-0.799497534538046	-0.0909516955267748	0	0	0	1
-0.176763859962823	0.184541857404493	-1.04992405140287	0	0	1	1
-0.301864837010741	-0.053719459135491	0.632445141821819	1	0	0	1
-0.150839861819577	-1.44738992902459	-0.711889983046532	0	0	1	1
2.02015466637175	3.89457884432843	-1.16246276946646	1	0	1	0
NA	NA	NA	NA	NA	NA	NA
0.859062341533284	2.40055679912697	-0.925213921028281	1	0	1	1
0.189769450383731	1.44045689111455	-0.175348972425093	1	0	1	1
NA	NA	NA	NA	NA	NA	NA
0.403983993375236	0.599224171459472	-1.88611872597047	0	0	1	1
-1.55520203763208	1.48909920908482	3.89305753131107	1	0	0	0
1.10801082046986	0.951342329795343	2.23871683899158	1	0	0	0
-0.170272396854229	-0.134232852447288	-1.19639973842246	0	1	1	1
0.342276449324523	1.01778232329342	0.390848295698622	1	0	1	1
-0.0800160513214011	0.710018777402811	0.321684385088756	1	0	1	1
3.01722303430045	5.21978032969573	-0.752015403214292	1	0	1	0
-1.55520203763208	-0.799498235115318	-0.090953302607006	0	0	0	1
-1.55520203763208	-0.799497636607498	-0.0909519938789608	0	0	0	1
-0.945531190020211	-0.294049650444161	0.329407972889679	1	0	0	1
0.630968341770701	2.76712964281689	-1.11523554852177	1	1	1	1
