MAG01_Mycoplasma_salmoninae	MAG02_Mycoplasma_sp	MAG03_Mycoplasma_sp	MAG04_Mycoplasma_sp	MAG06_Photobacterium_phosphoreum	MAG08_Aliivibrio_sp	MAG11_Brevinema_sp	MAG12_Carnobacterium_maltaromaticum
NA	NA	NA	NA	NA	NA	NA	NA
0.168329703227753	-0.046651861276626	NA	NA	-1.08327016348967	-0.939990912189466	NA	NA
1.06838463793136	NA	NA	NA	NA	NA	-0.51612196075164	NA
0.280726334691297	-1.46037861591456	-1.1645873999632	-0.31412690271425	-1.87999110932235	NA	0.305985895779476	0.504322046077778
0.467555033512539	NA	NA	NA	NA	NA	NA	NA
2.19341302186211	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA
1.21687866118727	-0.866809289084231	NA	-1.26609393971761	NA	NA	-1.97668786724428	-2.37510708419477
-1.21687866118727	NA	NA	NA	-0.220943261321754	1.05447245177005	NA	NA
1.07985746807342	-1.53176111322817	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA
-0.274029831397244	1.36550932818113	0.341724623589588	0.350414831453401	NA	NA	NA	NA
1.03478097822682	NA	NA	NA	NA	NA	NA	NA
0.688715101907489	-0.578701360735488	NA	NA	NA	NA	NA	NA
1.36505264619852	NA	NA	NA	NA	NA	NA	NA
1.55132999525037	NA	NA	NA	NA	NA	-1.53412054435255	NA
0.155272259836499	0.76905532945128	NA	NA	NA	NA	NA	NA
0.58605193175905	-1.2815515655446	NA	0.751993787987328	NA	NA	NA	NA
-0.817081686152106	NA	NA	0.621536669307965	0.644693725779555	NA	NA	NA
-0.891332827098953	-1.42731759204887	NA	NA	0.767771497333423	NA	NA	NA
0.862932087618015	NA	NA	NA	NA	NA	-0.23100915166688	NA
-0.970856912080237	NA	-0.341724623589588	NA	0.903764633667776	NA	NA	NA
-0.254012551735502	NA	NA	NA	0.0685407390229921	NA	NA	NA
0.609162924560946	NA	NA	NA	NA	NA	NA	NA
1.64360863372417	NA	NA	NA	NA	NA	NA	NA
0.129234325015169	0.722857491469167	NA	NA	NA	NA	NA	0.312861399760112
-0.0451217278026829	-0.458613656611658	1.28820555557844	0.896729989949441	NA	NA	NA	0
